update_id,role,raw_text,inbound_kind,created_at
261541151,assistant,"Assigned Swaraj Bari to the bill and finalized it with a grand total of 504 paise via upi.
Inventory stock has also been updated for the committed items.",text,2026-08-05T02:27:20.958Z
261541151,user,Swaraj Bari,text,2026-08-05T02:26:28.449Z
261541150,assistant,Could you please provide the customer's name so I can finalize the draft bill for you?,text,2026-08-05T02:26:22.159Z
261541150,user,Finalize it,text,2026-08-05T02:26:09.382Z
261541149,assistant,"I have created the draft bill with 2 loose sugar, 1 Aashirvaad Atta 5kg, 4 Maggi 70g, and 1 Amul Butter 100g.
The payment method is set to upi.",text,2026-08-05T02:25:01.612Z
261541149,user,Yes,text,2026-08-05T02:24:02.797Z
261541148,assistant,"Could you please clarify the specific items/variants you would like to include in the bill?

- **Sugar:** Would you like to use **loose sugar**?
- **Maggi:** Should we add **Maggi 70g**?
- **Amul butter:** Should we add **Amul Butter 100g**?",text,2026-08-05T02:23:53.062Z
261541148,user,"make a bill: 2kg sugar, 1 Aashirvaad atta 5kg, 4 Maggi, 1 Amul butter, UPI",text,2026-08-05T02:23:19.030Z
261541147,assistant,"Conversation context cleared. Your shop data is unchanged.

What would you like to do next?",text,2026-08-05T02:23:03.837Z
261541147,user,/new,command,2026-08-05T02:23:03.476Z
261541146,assistant,"Conversation context cleared. Your shop data is unchanged.

What would you like to do next?",text,2026-08-05T02:21:31.312Z
261541146,user,/new,command,2026-08-05T02:21:31.103Z
261541145,assistant,"To update the reserved stock for Maggi 70g, could you please provide the draft bill ID associated with this reservation?",text,2026-08-05T02:21:19.812Z
261541145,user,Yes,text,2026-08-05T02:20:58.135Z
261541144,assistant,"Could you please confirm if you mean ""Maggi 70g"" (ID: maggi-70g-001)? If not, please specify the exact product variant you would like to remove the 50 reserved units for.",text,2026-08-05T02:20:52.624Z
