id,component,facet,test_type,query,prerequisite,target_layer,expected_outcome,should_fail,failure_point,follow_up,verify_in_db,notes
ONB-001,onboarding,shop_identity,happy_path,"My shop is Sharma Kirana and my name is Raj Sharma",empty shop_profile or first onboarding,my_shop_profile:propose_shop_identity_update,shop_name and owner_name saved without confirmation buttons,no,,,shop_profile.shop_name and shop_profile.owner_name populated,First-write identity skips confirmation per tool rules
ONB-002,onboarding,shop_identity,clarification,"I want to set my shop name",empty profile,my_shop_profile,Bot asks what shop name and/or owner name to use,no,,,,Tests MSP/Gemini clarification path when facet incomplete
ONB-003,onboarding,shop_identity,clarification,"What is my shop name?",empty profile,my_shop_profile:read_shop_profile,Explains shop name is not set yet or asks user to provide it,no,,,,Read path via read_shop_profile + GO response
ONB-004,onboarding,shop_identity,happy_path,"My shop name is Patel General Store",empty profile,my_shop_profile:propose_shop_identity_update,shop_name saved; owner_name may remain null,no,,,shop_profile.shop_name = Patel General Store,Partial identity update allowed
ONB-005,onboarding,shop_identity,happy_path,"My name is Amit Patel",shop_name already set,my_shop_profile:propose_shop_identity_update,owner_name saved without confirmation if not replacing existing values,no,,,shop_profile.owner_name = Amit Patel,Adds missing owner name to existing profile
ONB-006,onboarding,shop_identity,confirmation,"Change my shop name to New Mart",shop_name already set,my_shop_profile:propose_shop_identity_update,Confirmation table with Yes/No inline buttons shown,no,,callback:yes,shop_profile.shop_name = New Mart,Replacing existing identity triggers confirmation flow
ONB-007,onboarding,shop_identity,confirmation_deny,"Rename my shop to Super Bazaar",shop_name already set,my_shop_profile:propose_shop_identity_update,Confirmation table shown; write not saved if denied,no,,callback:no,shop_profile.shop_name unchanged,Tests user_rejected path on identity tool
ONB-008,onboarding,shop_identity,confirmation,"Change owner name to Priya Sharma",owner_name already set,my_shop_profile:propose_shop_identity_update,Confirmation table for owner name change,no,,callback:yes,shop_profile.owner_name = Priya Sharma,Owner replacement also requires confirmation
ONB-009,onboarding,tax_registration,clarification,"I want to set up my GST details. What info do you need from me?",empty or partial profile,my_shop_profile,Asks for GST registration status and 15-character GSTIN if registered,no,,,,Informational clarification before any write
ONB-010,onboarding,tax_registration,happy_path,"Yes I am GST registered. My GSTIN is 27AAPFU0939F1ZV",none,my_shop_profile:propose_tax_registration_update,Confirmation table with GST fields then save on approve,no,,callback:yes,"shop_profile.gst_registered=true, shop_profile.gstin=27AAPFU0939F1ZV",Uses known-valid test GSTIN from unit tests
ONB-011,onboarding,tax_registration,validation_fail,"Yes I am GST registered. My GSTIN is 123456789012458",none,my_shop_profile:propose_tax_registration_update,Rejected as invalid GSTIN; asks for a real GSTIN,yes,msp_tool:invalid_gstin,,shop_profile.gstin unchanged,All-numeric GSTIN fails format + checksum validation
ONB-012,onboarding,tax_registration,validation_fail,"My GST number is 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 8",none,my_shop_profile:propose_tax_registration_update,Rejected; explains GSTIN is not 15 random digits,yes,msp_tool:invalid_gstin,,shop_profile.gstin unchanged,Wrong length and invalid structure
